Target,Structure
hsp90,O=C(N(CC)CC)c1ccc(O)c(OC)c1
hsp90,Clc1c(O)ccc(C(=O)N(CC)CC)c1
hsp90,O=C(N(CC)CC)c1ccc(O)c(CC)c1
hsp90,O=C(N(CC)CC)c1ccc(O)c(C(C)C)c1
hsp90,O=C(N(CC)CC)c1ccc(O)c(C(C)(C)C)c1
hsp90,O=C(N1CCOCC1)c2ccc(O)c(C(C)(C)C)c2
hsp90,OC1CCN(CC1)C(=O)c2ccc(O)c(C(C)(C)C)c2
hsp90,Oc1ccc(C(=O)N2CCN(CC2)C(=O)C)cc1C(C)(C)C
hsp90,O=C(N1CCN(CC1)c2ccccn2)c3ccc(O)c(C(C)(C)C)c3
hsp90,O=C(N1Cc2ccccc2CC1)c3ccc(O)c(C(C)(C)C)c3
hsp90,O=C(N1Cc2ccccc2CC1)c3ccc(O)c(C(C)C)c3
hsp90,O=C(N1CCOCC1)c2ccc(O)c(C(C)C)c2
hsp90,Oc1cc(O)c(C(=O)N2CCOCC2)cc1C(C)C
hsp90,O=C(N1Cc2ccccc2C1)c3ccc(O)c(C(C)C)c3
hsp90,Oc1cc(O)c(C(=O)N2Cc3ccccc3C2)cc1C(C)C
hsp90,O=C(N1Cc2ccccc2C1)c3ccc(O)c(C(C)(C)C)c3
hsp90,O=C(N(CC)CC)c1c(O)ccc(C(C)(C)C)c1
hsp90,O=C(N(CC)CC)c1c(O)ccc(C(C)C)c1
MCL-1,[O-]C(=O)c1cc2ccccc2s1
MCL-1,Clc1c(sc2ccccc21)C([O-])=O
MCL-1,Clc1c(sc2cccc(Cl)c12)C([O-])=O
MCL-1,Clc1c(sc2cc(Cl)ccc12)C([O-])=O
MCL-1,Clc1c(sc2cc(ccc12)C)C([O-])=O
MCL-1,[O-]C(=O)c1cc2ccccc2o1
MCL-1,Clc1ccc2c(c(c(o2)C([O-])=O)C)c1
MCL-1,Clc1ccc2c(oc(c2C)C([O-])=O)c1
MCL-1,[O-]C(=O)c1c(c2cccc(c2o1)C)C
MCL-1,[O-]C(=O)c1c(c2ccc(c(c2o1)C)C)C
MCL-1,Brc1cc(Cl)cc2c1cc(o2)C([O-])=O
MCL-1,[O-]C(=O)c1cc2ccccc2[nH]1
MCL-1,[O-]C(=O)c1cc2ccccc2n1C
MCL-1,Brc1ccc2c(cc(n2C)C([O-])=O)c1
MCL-1,[O-]C(=O)c1c(c2cccc(c2[nH]1)C)-c3ccccc3
MCL-1,Clc1ccc(OCC([O-])=O)cc1C
MCL-1,Clc1c(cc(OCC([O-])=O)cc1C)C
MCL-1,Clc1c(cc(OCCCc2c(sc3ccccc32)C([O-])=O)cc1C)C
P38,Fc1ccc(OC=2C(=O)N(c3c(C2)cnc(NC4CCOCC4)n3)C)cc1
P38,Fc1cc(F)ccc1OC=2C(=O)N(c3c(C2)cnc(NC4CCN(CC4)C(=O)C)n3)C
P38,Fc1cccc(OC=2C(=O)N(c3c(C2)cnc(NC4CCOCC4)n3)C)c1
P38,Fc1cc(F)ccc1OC=2C(=O)N(c3c(C2)cnc(NC4CCC(O)CC4)n3)C
P38,Fc1ccccc1OC2=Cc3cnc(NC4CCOCC4)nc3N(C2=O)C
P38,Fc1cc(F)ccc1OC=2C(=O)N(c3c(C2)cnc(NC4CCS(=O)(=O)CC4)n3)C
P38,Fc1ccccc1SC2=Cc3cnc(NC4CCOCC4)nc3N(C2=O)C
P38,Fc1ccccc1CC2=Cc3cnc(NC4CCOCC4)nc3N(C2=O)C
P38,Fc1cc(F)ccc1CC=2C(=O)N(c3c(C2)cnc(NC4CCOCC4)n3)C
P38,Fc1cc(F)ccc1OC=2C(=O)Nc3c(C2)cnc(NC4CCOCC4)n3
P38,Fc1cc(F)ccc1OC2=Cc3cnc(NC4CCOCC4)nc3N(CC)C2=O
P38,Fc1cc(F)ccc1OC2=Cc3cnc(NC4CCOCC4)nc3N(C5CC5)C2=O
P38,Fc1cc(F)ccc1OC2=Cc3cnc(NC4CCOCC4)nc3N(CCCO)C2=O
P38,Fc1cc(F)ccc1OC2=Cc3cnc(NC4CCOCC4)nc3N(CCS(=O)(=O)C)C2=O
P38,Fc1cc(F)ccc1OC2=Cc3cnc(NC4CCOCC4)nc3N(CCCS(=O)(=O)C)C2=O
P38,Fc1cc(F)ccc1OC2=Cc3cnc(NC4CCOCC4)nc3N(CC(O)(C)C)C2=O
P38,Fc1cc(F)ccc1OC2=Cc3cnc(NC4CCOCC4)nc3N(C[C@H](O)CO)C2=O
P38,Fc1cc(F)ccc1OC2=Cc3cnc(NC4CCOCC4)nc3N(C2=O)CC#N
P38,Fc1cc(F)ccc1OC=2C(=O)N(c3c(C2)cnc(NC4CCOCC4)n3)C
P38,O=C1C(Oc2ccccc2)=Cc3cnc(NC4CCOCC4)nc3N1C
